,,,accuracy,precision,recall,fscore
Portuguese-all,balanced,LOGISTIC REGRESION,0.9633582390953151,0.9563757613480751,0.9709882954762994,0.96347725949861
Portuguese-all,balanced,DECISION TREE,0.932946284329564,0.9906093634815936,0.8742955340481885,0.9279927612181444
Portuguese-all,balanced,KNN 3,0.9847940226171243,0.9826839162817029,0.9870122564253465,0.9848058262949857
Portuguese-all,balanced,KNN 5,0.9858037156704361,0.9805876084241343,0.991436726477233,0.9859562143411079
Portuguese-all,balanced,KNN 7,0.9847233441033927,0.9743653963194013,0.9955859613379492,0.9848525908270028
Portuguese-all,balanced,KNN 9,0.9850666397415188,0.9710681337832652,0.9998590130916416,0.9852517979905417
Portuguese-all,balanced,MOST FREQUEST CLASS,0.49756663974151855,0.19925282714054926,0.4,0.26600129016924756
Portuguese-all,balanced,RANDOM CLASS,0.5003533925686591,0.49975455477743147,0.5010046706576463,0.5003651885088398
Russian-all,no_balanced,LOGISTIC REGRESION,0.971033977022733,0.7686880029254135,0.8049891489459723,0.7687644541611935
Russian-all,no_balanced,DECISION TREE,0.9658274260571987,0.8019076070016226,0.5881114219647625,0.6604476511566028
Russian-all,no_balanced,KNN 3,0.975360547543388,0.7539925799873441,0.8816712086288063,0.8085444311400763
Russian-all,no_balanced,KNN 5,0.9772671718406258,0.7881803165690078,0.8772904173858429,0.8250038582538497
Russian-all,no_balanced,KNN 7,0.978807137619164,0.8217623015234382,0.8596872611372277,0.8356795346056993
Russian-all,no_balanced,KNN 9,0.973062820826204,0.7254506039030069,0.909148765217181,0.7997573223140273
Russian-all,no_balanced,MOST FREQUEST CLASS,0.9389635785871425,0.0,0.0,0.0
Russian-all,no_balanced,RANDOM CLASS,0.49806893180151557,0.06100273858913904,0.5056168498612578,0.10880147961558706
Russian-all,balanced,LOGISTIC REGRESION,0.9558230318802862,0.9461202614926769,0.9670271670723387,0.9563294202608654
Russian-all,balanced,DECISION TREE,0.9283669486011711,0.9863345546248781,0.8691645536820685,0.9238260783686553
Russian-all,balanced,KNN 3,0.9766167859466492,0.978191808361143,0.9750067397397902,0.9765404851948583
Russian-all,balanced,KNN 5,0.9838906961613534,0.9733255260137519,0.994968750843435,0.9840202892604749
Russian-all,balanced,KNN 7,0.9825894599869877,0.9690258496929463,0.9972229400945564,0.9829190896879659
Russian-all,balanced,KNN 9,0.9788809368900455,0.9646268408794564,0.9940877496281363,0.9791149404320899
